DATAFLOW,MEASURE: Measure,SEX: Sex,AGE: Age,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A55: 55-59,1: New South Wales,Q: Quarterly,1981-Q4,271561,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A55: 55-59,1: New South Wales,Q: Quarterly,1982-Q1,271693,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A55: 55-59,1: New South Wales,Q: Quarterly,1982-Q2,271785,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A55: 55-59,1: New South Wales,Q: Quarterly,1982-Q3,272191,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A55: 55-59,1: New South Wales,Q: Quarterly,1982-Q4,272698,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A55: 55-59,1: New South Wales,Q: Quarterly,1983-Q1,273140,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A55: 55-59,1: New South Wales,Q: Quarterly,1983-Q2,273504,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A55: 55-59,1: New South Wales,Q: Quarterly,1983-Q3,273600,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A55: 55-59,1: New South Wales,Q: Quarterly,1983-Q4,273774,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A55: 55-59,1: New South Wales,Q: Quarterly,1984-Q1,273782,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A55: 55-59,1: New South Wales,Q: Quarterly,1984-Q2,273850,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A55: 55-59,1: New South Wales,Q: Quarterly,1984-Q3,273690,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A55: 55-59,1: New South Wales,Q: Quarterly,1984-Q4,273700,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,A55: 55-59,1: New South Wales,Q: Quarterly,1985-Q1,273631,PSNS: Persons,,
