DATAFLOW,MEASURE: Measure,DATA_ITEM: Data Item,TSEST: Adjustment Type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,UNIT_MULT: Unit of Multiplier,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:ANA_AGG(1.0.0),M3: Current prices,GPM_PCA: GDP per capita,20: Seasonally Adjusted,AUS: Australia,Q: Quarterly,1989-Q1,5561,AUD: Australian Dollars,0: Units,,
ABS:ANA_AGG(1.0.0),M3: Current prices,GPM_PCA: GDP per capita,20: Seasonally Adjusted,AUS: Australia,Q: Quarterly,1989-Q2,5753,AUD: Australian Dollars,0: Units,,
ABS:ANA_AGG(1.0.0),M3: Current prices,GPM_PCA: GDP per capita,20: Seasonally Adjusted,AUS: Australia,Q: Quarterly,1989-Q3,5843,AUD: Australian Dollars,0: Units,,
ABS:ANA_AGG(1.0.0),M3: Current prices,GPM_PCA: GDP per capita,20: Seasonally Adjusted,AUS: Australia,Q: Quarterly,1989-Q4,5922,AUD: Australian Dollars,0: Units,,
ABS:ANA_AGG(1.0.0),M3: Current prices,GPM_PCA: GDP per capita,20: Seasonally Adjusted,AUS: Australia,Q: Quarterly,1990-Q1,6010,AUD: Australian Dollars,0: Units,,
ABS:ANA_AGG(1.0.0),M3: Current prices,GPM_PCA: GDP per capita,20: Seasonally Adjusted,AUS: Australia,Q: Quarterly,1990-Q2,6100,AUD: Australian Dollars,0: Units,,
ABS:ANA_AGG(1.0.0),M3: Current prices,GPM_PCA: GDP per capita,20: Seasonally Adjusted,AUS: Australia,Q: Quarterly,1990-Q3,6044,AUD: Australian Dollars,0: Units,,
ABS:ANA_AGG(1.0.0),M3: Current prices,GPM_PCA: GDP per capita,20: Seasonally Adjusted,AUS: Australia,Q: Quarterly,1990-Q4,6099,AUD: Australian Dollars,0: Units,,
ABS:ANA_AGG(1.0.0),M3: Current prices,GPM_PCA: GDP per capita,20: Seasonally Adjusted,AUS: Australia,Q: Quarterly,1991-Q1,5997,AUD: Australian Dollars,0: Units,,
ABS:ANA_AGG(1.0.0),M3: Current prices,GPM_PCA: GDP per capita,20: Seasonally Adjusted,AUS: Australia,Q: Quarterly,1991-Q2,5983,AUD: Australian Dollars,0: Units,,
ABS:ANA_AGG(1.0.0),M3: Current prices,GPM_PCA: GDP per capita,20: Seasonally Adjusted,AUS: Australia,Q: Quarterly,1991-Q3,6010,AUD: Australian Dollars,0: Units,,
ABS:ANA_AGG(1.0.0),M3: Current prices,GPM_PCA: GDP per capita,20: Seasonally Adjusted,AUS: Australia,Q: Quarterly,1991-Q4,6051,AUD: Australian Dollars,0: Units,,
ABS:ANA_AGG(1.0.0),M3: Current prices,GPM_PCA: GDP per capita,20: Seasonally Adjusted,AUS: Australia,Q: Quarterly,1992-Q1,6122,AUD: Australian Dollars,0: Units,,
ABS:ANA_AGG(1.0.0),M3: Current prices,GPM_PCA: GDP per capita,20: Seasonally Adjusted,AUS: Australia,Q: Quarterly,1992-Q2,6128,AUD: Australian Dollars,0: Units,,
ABS:ANA_AGG(1.0.0),M3: Current prices,GPM_PCA: GDP per capita,20: Seasonally Adjusted,AUS: Australia,Q: Quarterly,1992-Q3,6173,AUD: Australian Dollars,0: Units,,
ABS:ANA_AGG(1.0.0),M3: Current prices,GPM_PCA: GDP per capita,20: Seasonally Adjusted,AUS: Australia,Q: Quarterly,1992-Q4,6282,AUD: Australian Dollars,0: Units,,
ABS:ANA_AGG(1.0.0),M3: Current prices,GPM_PCA: GDP per capita,20: Seasonally Adjusted,AUS: Australia,Q: Quarterly,1993-Q1,6374,AUD: Australian Dollars,0: Units,,
ABS:ANA_AGG(1.0.0),M3: Current prices,GPM_PCA: GDP per capita,20: Seasonally Adjusted,AUS: Australia,Q: Quarterly,1993-Q2,6425,AUD: Australian Dollars,0: Units,,
ABS:ANA_AGG(1.0.0),M3: Current prices,GPM_PCA: GDP per capita,20: Seasonally Adjusted,AUS: Australia,Q: Quarterly,1993-Q3,6403,AUD: Australian Dollars,0: Units,,
ABS:ANA_AGG(1.0.0),M3: Current prices,GPM_PCA: GDP per capita,20: Seasonally Adjusted,AUS: Australia,Q: Quarterly,1993-Q4,6523,AUD: Australian Dollars,0: Units,,
ABS:ANA_AGG(1.0.0),M3: Current prices,GPM_PCA: GDP per capita,20: Seasonally Adjusted,AUS: Australia,Q: Quarterly,1994-Q1,6637,AUD: Australian Dollars,0: Units,,
