"Date","Price","Open","High","Low","Vol.","Change %"
"01/09/2022","91.35","95.34","96.99","87.25","197.48K","-4.49%"
"01/08/2022","95.64","103.33","104.41","91.52","290.43K","-13.06%"
"01/07/2022","110.01","109.49","114.75","94.50","4.28M","-4.18%"
"01/06/2022","114.81","116.08","125.19","107.03","4.46M","-6.54%"
"01/05/2022","122.84","106.30","125.28","101.30","4.50M","12.35%"
"01/04/2022","109.34","105.25","114.84","97.57","3.80M","1.33%"
"01/03/2022","107.91","98.43","139.13","96.93","6.28M","6.85%"
"01/02/2022","100.99","89.62","105.79","87.72","5.89M","10.72%"
"01/01/2022","91.21","78.11","91.70","77.04","5.45M","17.27%"
"01/12/2021","77.78","69.80","80.17","65.72","5.18M","10.22%"
"01/11/2021","70.57","83.63","85.50","70.22","6.62M","-16.37%"
"01/10/2021","84.38","78.49","86.70","77.55","6.30M","7.46%"
"01/09/2021","78.52","71.68","80.75","70.42","5.09M","7.58%"
"01/08/2021","72.99","75.39","75.39","64.60","5.51M","-4.38%"
"01/07/2021","76.33","74.69","77.84","67.44","5.85M","1.60%"
"01/06/2021","75.13","69.39","76.60","69.29","5.06M","8.38%"
"01/05/2021","69.32","66.70","70.24","64.57","5.09M","3.08%"
"01/04/2021","67.25","63.12","68.95","61.25","5.05M","5.84%"
"01/03/2021","63.54","64.85","71.38","60.27","6.63M","-3.92%"
"01/02/2021","66.13","54.91","67.70","54.60","5.09M","18.34%"
"01/01/2021","55.88","51.50","57.42","50.56","5.27M","7.88%"
"01/12/2020","51.80","47.79","52.48","46.82","4.51M","8.85%"
"01/11/2020","47.59","37.37","49.09","35.74","5.04M","27.04%"
"01/10/2020","37.46","42.17","43.57","36.64","5.15M","-8.52%"
"01/09/2020","40.95","45.60","46.22","39.30","4.40M","-9.56%"
"01/08/2020","45.28","43.53","46.53","42.89","3.61M","4.57%"
"01/07/2020","43.30","41.58","44.89","41.03","4.03M","5.22%"
"01/06/2020","41.15","37.56","43.93","37.01","4.28M","16.47%"
"01/05/2020","35.33","26.95","36.98","25.50","3.80M","39.81%"
"01/04/2020","25.27","25.99","36.40","15.98","6.45M","11.13%"
"01/03/2020","22.74","48.95","53.90","21.65","7.36M","-54.99%"
"01/02/2020","50.52","56.16","60.00","50.05","5.27M","-13.14%"
"01/01/2020","58.16","66.41","71.75","57.71","5.80M","-11.88%"
"01/12/2019","66.00","60.73","68.99","60.30","4.45M","5.72%"
"01/11/2019","62.43","59.45","64.60","59.40","4.79M","3.65%"
"01/10/2019","60.23","59.38","62.34","56.15","5.61M","-0.90%"
"01/09/2019","60.78","58.80","71.95","57.23","5.63M","0.58%"
"01/08/2019","60.43","64.09","64.54","55.88","5.98M","-7.27%"
"01/07/2019","65.17","65.05","67.65","61.29","5.71M","-2.07%"
"01/06/2019","66.55","61.64","66.85","59.45","5.70M","3.19%"
"01/05/2019","64.49","71.73","73.40","64.37","6.13M","-11.41%"
"01/04/2019","72.80","67.58","75.60","67.58","5.49M","6.45%"
"01/03/2019","68.39","66.48","68.89","64.02","4.84M","3.57%"
"01/02/2019","66.03","61.06","67.73","60.46","4.55M","6.69%"
"01/01/2019","61.89","54.12","63.15","52.51","5.48M","15.04%"
"01/12/2018","53.80","59.98","63.73","49.93","4.73M","-8.36%"
"01/11/2018","58.71","74.69","74.99","57.50","6.26M","-22.21%"
"01/10/2018","75.47","82.79","86.74","75.09","6.90M","-8.76%"
"01/09/2018","82.72","77.69","82.87","75.64","4.69M","6.85%"
"01/08/2018","77.42","74.07","78.03","70.30","4.73M","4.27%"
"01/07/2018","74.25","78.55","79.51","71.19","5.56M","-6.53%"
"01/06/2018","79.44","77.71","79.70","72.45","5.97M","2.38%"
"01/05/2018","77.59","74.65","80.50","72.38","6.37M","3.22%"
"01/04/2018","75.17","69.32","75.47","66.69","6.23M","6.97%"
"01/03/2018","70.27","64.57","71.05","63.19","5.34M","6.83%"
"01/02/2018","65.78","69.00","70.02","61.76","5.66M","-4.74%"
"01/01/2018","69.05","66.55","71.28","66.24","5.48M","3.26%"
"01/12/2017","66.87","62.74","67.10","61.13","4.86M","5.19%"
"01/11/2017","63.57","61.07","64.65","60.00","6.25M","3.58%"
"01/10/2017","61.37","56.73","61.41","55.06","6.55M","6.66%"
"01/09/2017","57.54","52.84","59.49","51.99","5.05M","9.85%"
"01/08/2017","52.38","52.70","53.64","50.00","6.33M","-0.51%"
"01/07/2017","52.65","48.95","52.92","46.11","5.44M","9.87%"
"01/06/2017","47.92","51.17","51.45","44.35","6.85M","-4.75%"
"01/05/2017","50.31","51.88","54.67","46.64","7.34M","-2.75%"
"01/04/2017","51.73","53.62","56.65","50.45","5.47M","-2.08%"
"01/03/2017","52.83","56.45","57.05","49.71","6.24M","-4.96%"
"01/02/2017","55.59","55.55","57.45","54.44","5.08M","-0.20%"
"01/01/2017","55.70","57.05","58.37","53.58","5.55M","-1.97%"
"01/12/2016","56.82","51.72","57.89","51.51","5.16M","12.58%"
"01/11/2016","50.47","48.72","50.49","43.57","6.24M","4.49%"
"01/10/2016","48.30","50.02","53.73","47.98","5.41M","-1.55%"
"01/09/2016","49.06","46.98","50.14","45.09","5.44M","4.29%"
"01/08/2016","47.04","43.11","51.22","41.51","5.62M","10.79%"
"01/07/2016","42.46","49.90","50.75","41.80","4.89M","-14.53%"
"01/06/2016","49.68","49.65","52.86","46.69","5.06M","-0.02%"
"01/05/2016","49.69","47.37","50.51","43.33","5.50M","3.24%"
"01/04/2016","48.13","40.14","48.50","37.27","5.67M","21.54%"
"01/03/2016","39.60","36.60","42.54","35.95","5.29M","10.09%"
"01/02/2016","35.97","35.85","37.00","29.92","6.11M","3.54%"
"01/01/2016","34.74","37.85","38.99","27.10","5.13M","-6.81%"
"01/12/2015","37.28","44.62","45.18","35.98","4.34M","-16.43%"
"01/11/2015","44.61","49.50","50.91","43.15","4.64M","-9.99%"
"01/10/2015","49.56","48.40","54.05","46.41","4.60M","2.46%"
"01/09/2015","48.37","52.92","53.47","45.98","4.49M","-10.67%"
"01/08/2015","54.15","51.55","54.32","42.23","5.04M","3.72%"
"01/07/2015","52.21","63.02","63.35","51.63","4.72M","-17.90%"
"01/06/2015","63.59","65.59","66.36","60.94","4.82M","-3.00%"
"01/05/2015","65.56","66.78","69.63","61.24","4.28M","-1.83%"
"01/04/2015","66.78","55.18","66.93","54.00","4.36M","21.18%"
"01/03/2015","55.11","62.50","62.50","52.50","4.58M","-11.94%"
"01/02/2015","62.58","52.68","63.00","51.41","5.13M","18.10%"
"01/01/2015","52.99","58.02","58.54","45.19","5.06M","-7.57%"
"01/12/2014","57.33","70.15","73.03","55.81","4.14M","-18.28%"
"01/11/2014","70.15","85.85","86.40","69.78","4.42M","-18.30%"
"01/10/2014","85.86","94.77","96.23","82.60","4.87M","-9.31%"
"01/09/2014","94.67","102.95","103.30","94.24","3.92M","-8.26%"
"01/08/2014","103.19","105.60","106.85","101.07","3.40M","-2.67%"
"01/07/2014","106.02","112.50","112.83","104.39","4.16M","-5.64%"
"01/06/2014","112.36","109.70","115.71","107.77","3.92M","2.70%"
"01/05/2014","109.41","108.08","111.04","106.85","3.57M","1.24%"
"01/04/2014","108.07","107.66","110.65","103.95","3.72M","0.29%"
"01/03/2014","107.76","109.44","112.39","105.41","3.53M","-1.20%"
