Series ID,FXRJY,FXRUSD,FXREUR,FXRSKW,FXRNZD,FXRCR,FXRUKPS,FXRNTD,FXRSD,FXRIR,FXRHKD,FXRMR,FXRSDR,FXRTWI,
31-Jul-1969,400.74,1.1138,,,0.9980,,0.4657,,,,,,,,
31-Aug-1969,398.14,1.1091,,,0.9980,,0.4657,,,,,,,,
30-Sep-1969,396.81,1.1094,,,0.9980,,0.4657,,,,,,,,
31-Oct-1969,399.02,1.1158,,,0.9980,,0.4657,,,,,,,,
30-Nov-1969,399.08,1.1161,,,0.9980,,0.4657,,,,,,,,
31-Dec-1969,399.88,1.1182,,,0.9980,,0.4657,,,,,,,, 
31-Jan-1970,400.30,1.1185,,,0.9980,,0.4657,,,,,,1.1200,,
28-Feb-1970,400.72,1.1209,,,0.9980,,0.4657,,,,,,1.1200,,
31-Mar-1970,400.74,1.1207,,,0.9980,,0.4657,,,,,,1.1200,,
30-Apr-1970,401.74,1.1206,,,0.9980,,0.4657,,,,,,1.1200,,
31-May-1970,401.60,1.1186,,,0.9980,,0.4657,,,,,,1.1200,100.0,
30-Jun-1970,400.20,1.1159,,,0.9980,,0.4657,,,,,,1.1200,99.6,
31-Jul-1970,399.45,1.1134,,,0.9980,,0.4657,,,,,,1.1200,99.4,
31-Aug-1970,397.61,1.1100,,,0.9980,,0.4657,,,,,,1.1200,99.1,
30-Sep-1970,397.91,1.1118,,,0.9980,,0.4657,,,,,,1.1200,99.2,
31-Oct-1970,398.05,1.1131,,,0.9980,,0.4657,,,,,,1.1200,99.2,
30-Nov-1970,398.03,1.1131,,,0.9980,,0.4657,,,,,,1.1200,99.2,
31-Dec-1970,398.54,1.1146,,,0.9980,,0.4657,,,,,,1.1200,99.3,
31-Jan-1971,402.85,1.1257,,,0.9980,,0.4657,,,,,,1.1200,100.0,
28-Feb-1971,402.41,1.1262,,,0.9980,,0.4657,,,,,,1.1200,100.0,
31-Mar-1971,402.44,1.1257,,,0.9980,,0.4657,,,,,,1.1200,100.0,
30-Apr-1971,402.58,1.1267,,,0.9980,,0.4657,,,,,,1.1200,100.0,
31-May-1971,402.31,1.1261,,,0.9980,,0.4657,,,,,,1.1200,99.8,
30-Jun-1971,402.65,1.1266,,,0.9980,,0.4657,,,,,,1.1200,99.8,
31-Jul-1971,402.51,1.1264,,,0.9980,,0.4657,,,,,,1.1200,99.7,
31-Aug-1971,389.41,1.1487,,,0.9980,,0.4657,,,,,,1.1200,99.3,
30-Sep-1971,385.63,1.1570,,,0.9980,,0.4657,,,,,,1.1200,99.8,
31-Oct-1971,382.37,1.1614,,,0.9980,,0.4657,,,,,,1.1200,99.4,
30-Nov-1971,379.11,1.1615,,,0.9980,,0.4657,,,,,,1.1200,99.3,
31-Dec-1971,374.53,1.1910,,,0.9965,,0.4664,,,,,,1.1200,99.8,
31-Jan-1972,369.07,1.1910,,,0.9965,,0.4596,,,,,,1.1200,98.8,
29-Feb-1972,361.79,1.1910,,,0.9965,,0.4570,,,,,,1.1200,98.1,
31-Mar-1972,361.51,1.1910,,,0.9965,,0.4553,,,,,,1.1200,97.8,
30-Apr-1972,362.17,1.1910,,,0.9965,,0.4561,,,,,,1.1200,97.9,
31-May-1972,362.94,1.1910,,,0.9965,,0.4558,,,,,,1.1200,97.9,
30-Jun-1972,352.37,1.1910,,,0.9965,,0.4840,,,,,,1.1200,98.5,
31-Jul-1972,358.73,1.1910,,,0.9965,,0.4862,,,,,,1.1200,98.6,
31-Aug-1972,358.30,1.1910,,,0.9965,,0.4858,,,,,,1.1200,98.5,
30-Sep-1972,358.52,1.1910,,,0.9965,,0.4917,,,,,,1.1200,98.9,
31-Oct-1972,358.47,1.1910,,,0.9965,,0.5108,,,,,,1.1200,99.8,
30-Nov-1972,358.52,1.1910,,,0.9965,,0.5060,,,,,,1.1200,99.4,
31-Dec-1972,384.50,1.2750,,,1.0668,,0.5430,,,,,,1.1743,106.5,
31-Jan-1973,384.09,1.2750,,,1.0668,,0.5360,,,,,,1.1743,105.9,
28-Feb-1973,374.79,1.4167,,,1.0674,,0.5732,,,,,,1.1743,110.7,
31-Mar-1973,376.21,1.4167,,,1.0674,,0.5706,,,,,,1.1743,110.5,
30-Apr-1973,376.06,1.4167,,,1.0674,,0.5696,,,,,,1.1743,110.5,
31-May-1973,374.90,1.4167,,,1.0674,,0.5519,,,,,,1.1743,109.1,
30-Jun-1973,375.28,1.4167,,,1.0674,,0.5480,,,,,,1.1743,107.9,
31-Jul-1973,373.60,1.4167,,,1.0479,,0.5663,,,,,,1.1743,107.9,
31-Aug-1973,375.83,1.4167,,,1.0591,,0.5764,,,,,,1.1743,108.9,
30-Sep-1973,395.03,1.4875,,,1.0063,,0.6149,,,,,,1.2331,113.9,
31-Oct-1973,396.94,1.4875,,,1.0050,,0.6111,,,,,,1.2331,113.8,
30-Nov-1973,416.49,1.4875,,,1.0303,,0.6334,,,,,,1.2331,117.3,
31-Dec-1973,416.67,1.4875,,,1.0414,,0.6417,,,,,,1.2331,118.1,
31-Jan-1974,444.03,1.4875,,,1.0662,,0.6585,,,,,,1.2331,121.3,
28-Feb-1974,426.10,1.4875,,,1.0458,,0.6456,,,,,,1.2331,119.0,
31-Mar-1974,405.87,1.4875,,,1.0140,,0.6140,,,,,,1.2331,115.5,
30-Apr-1974,415.91,1.4875,,,1.0131,,0.6110,,,,,,1.2331,116.0,
31-May-1974,417.72,1.4875,,,1.0216,,0.6216,,,,,,1.2331,117.0,
30-Jun-1974,421.99,1.4875,,,1.0231,,0.6221,,,,,,1.2331,117.3,
